atc,name,dc_code,other_code,dc_name,other_name,random,path,cdist,res,jcn,lin,wup,lch,nam
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342881,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752127,?,?,0.0,0.1111,0.1111,0.9555,0.1217,0.1887,0.5,1.4917,0.1409
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342882,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342907,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020474,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C2047520,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020443,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020445,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0002940,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0333482,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752130,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020473,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0004153,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752127,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342882,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020474,?,?,0.0,-1.0,-1.0,-
